ID,Harvest_Method,Cultivar_Type,Soil_Structure,Runoff,Soil_Texture,Organic_Matter_Content
537,MAnual,Hibrido,GRANULAR,NINGUNO,FrL,BAJA
543,Manual,Hibrido,GRANULAR,NINGUNO,ArL,NA
53,Manual,Hibrido,GRANULAR,NINGUNO,AF,MEDIA
54,Manual,Hibrido,GRANULAR,NINGUNO,FrL,BAJA
56,Manual,Hibrido,GRANULAR,NINGUNO,FAr,BAJA
57,Manual,Hibrido,GRANULAR,NINGUNO,FrL,BAJA
273,Manual,Hibrido,GRANULAR,NINGUNO,ArA,BAJA
282,Manual,Hibrido,GRANULAR,NINGUNO,FAr,BAJA
283,Manual,Hibrido,GRANULAR,NINGUNO,FA,MEDIA
284,Manual,Hibrido,GRANULAR,NINGUNO,L,BAJA
286,Manual,Hibrido,GRANULAR,NINGUNO,ArA,BAJA
287,Manual,Hibrido,GRANULAR,NINGUNO,FrL,BAJA
288,Manual,Hibrido,GRANULAR,NINGUNO,FA,MEDIA
289,MECANIZADA,Hibrido,GRANULAR,NINGUNO,FrL,BAJA
290,Manual,Hibrido,GRANULAR,NINGUNO,FrL,MEDIA
291,Manual,Hibrido,GRANULAR,NINGUNO,FrL,BAJA
293,Manual,Hibrido,GRANULAR,NINGUNO,FA,MEDIA
294,Manual,Hibrido,MASIVA,NINGUNO,FrL,MEDIA
295,Manual,Hibrido,MASIVA,NINGUNO,FrL,NA
536,Manual,Hibrido,MASIVA,NINGUNO,FrL,MEDIA
539,Manual,Hibrido,MASIVA,NINGUNO,ArL,MEDIA
540,Manual,Hibrido,ATERRONADA,LENTO,Ar,MEDIA
548,Manual,Hibrido,MASIVA,NINGUNO,ArA,MEDIA
549,Manual,Hibrido,MASIVA,LENTO,FrL,MEDIA
559,Manual,Hibrido,ATERRONADA,NINGUNO,Ar,MEDIA
560,Manual,Hibrido,ATERRONADA,NINGUNO,Ar,MEDIA
617,Manual,Hibrido,ATERRONADA,LENTO,Ar,MEDIA
618,Manual,Hibrido,ATERRONADA,NINGUNO,Ar,MEDIA
3277,Manual,Hibrido,MASIVA,NINGUNO,FrL,MEDIA
766,Manual,Variedad,NA,NINGUNO,FrL,MEDIA
781,Manual,Hibrido,MASIVA,NINGUNO,FrL,MEDIA
783,Manual,Hibrido,MASIVA,NINGUNO,ArA,MEDIA
784,Manual,Hibrido,MASIVA,NINGUNO,ArL,MEDIA
788,Manual,Hibrido,MASIVA,NINGUNO,FrL,MEDIA
791,Manual,Hibrido,MASIVA,NINGUNO,FrL,MEDIA
804,Mecanizada,Hibrido,ATERRONADA,LENTO,Ar,MEDIA
805,Manual,Hibrido,MASIVA,NINGUNO,FrL,MEDIA
806,Manual,Hibrido,MASIVA,NINGUNO,FrL,MEDIA
814,Mecanizada,Hibrido,MASIVA,LENTO,FrL,BAJA
816,Mecanizada,Hibrido,ATERRONADA,NINGUNO,Ar,MEDIA
817,Mecanizada,Hibrido,ATERRONADA,NINGUNO,Ar,MEDIA
818,Mecanizada,Hibrido,MASIVA,NINGUNO,Ar,BAJA
820,Mecanizada,Hibrido,MASIVA,NINGUNO,Ar,MEDIA
821,Manual,Hibrido,ATERRONADA,NINGUNO,Ar,MEDIA
823,Manual,Hibrido,MASIVA,NINGUNO,Ar,MEDIA
